Country,Country,Track,Track,Indicator,Indicator,Citizen,Citizen,Sex,Sex,Units,Frequency,Frequency,TIME_PERIOD,OBS_VALUE
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2021,19
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2022,35
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2023,60
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2024,119
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2000,877959
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2001,554955
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2002,1111878
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2003,1412012
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2004,1495625
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2005,1726566
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2006,1691959
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2007,1953962.6220006174
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2008,2256538.088792653
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2009,2605968.041
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2010,3009508
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2011,5823453
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2012,5800153
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2013,5362541
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2014,5561055
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2015,6682868
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2016,7730402
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2017,7198423
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2018,8169100.000000001
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,Number,A,Annual,2019,9139777.000000002
