Dataflow,GCCSTAT.PSS:DF_Common_Market_Tables(1.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataflow Name,Common Market Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataStructure,GCCSTAT.PSS:DSD_Common_Market_Tables(1.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataStructure Name,Common Market Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency Name,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Country Name,Track,Track Name,Indicator,Indicator Name,Citizen,Citizen Name,Sex,Sex Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AE,United Arab Emirates,T10,Health and Education,KN_A11,Number of GCC nationals benefiting from health services in hospitals and government health centers,KN_N4,Omani,KN_T,Total,,,,,,,,,,,,,,,,,53550,62239,56684,60603,60603,60603,,
AE,United Arab Emirates,T10,Health and Education,KN_A11,Number of GCC nationals benefiting from health services in hospitals and government health centers,KN_N5,Qatari,KN_T,Total,,,,,,,,,,,,,,,,,966,1204,1085,1634,1634,1634,,
AE,United Arab Emirates,T10,Health and Education,KN_A11,Number of GCC nationals benefiting from health services in hospitals and government health centers,KN_N6,Kuwaiti,KN_T,Total,,,,,,,,,,,,,,,,,1017,1365,1076,4594,4594,4594,,
BH,Kingdom of Bahrain,T2,Work,KN_A2,No. of GCC Citizens Working in other GCC States (Governmental Sector),KN_N1,Emirati,KN_T,Total,,,,,,,,,,,,,,,,,13,13,15,17,5,4,,
BH,Kingdom of Bahrain,T2,Work,KN_A2,No. of GCC Citizens Working in other GCC States (Governmental Sector),KN_N3,Saudi,KN_T,Total,,,,,,,,,,,,,,,,,89,92,100,266,189,167,,
BH,Kingdom of Bahrain,T2,Work,KN_A2,No. of GCC Citizens Working in other GCC States (Governmental Sector),KN_N4,Omani,KN_T,Total,,,,,,,,,,,,,,,,,66,67,66,65,13,13,,
BH,Kingdom of Bahrain,T2,Work,KN_A2,No. of GCC Citizens Working in other GCC States (Governmental Sector),KN_N5,Qatari,KN_T,Total,,,,,,,,,,,,,,,,,23,23,23,23,5,5,,
BH,Kingdom of Bahrain,T2,Work,KN_A2,No. of GCC Citizens Working in other GCC States (Governmental Sector),KN_N6,Kuwaiti,KN_T,Total,,,,,,,,,,,,,,,,,21,22,23,24,2,2,,
BH,Kingdom of Bahrain,T2,Work,KN_A3,No. of GCC Citizens Working in other GCC States (Private Sector),KN_N1,Emirati,KN_T,Total,,,,,,,,,,,,,,,,,5,6,8,6,6,4,,
BH,Kingdom of Bahrain,T2,Work,KN_A3,No. of GCC Citizens Working in other GCC States (Private Sector),KN_N3,Saudi,KN_T,Total,,,,,,,,,,,,,,,,,331,323,332,325,341,379,,
BH,Kingdom of Bahrain,T2,Work,KN_A3,No. of GCC Citizens Working in other GCC States (Private Sector),KN_N4,Omani,KN_T,Total,,,,,,,,,,,,,,,,,129,133,124,122,103,106,,
BH,Kingdom of Bahrain,T2,Work,KN_A3,No. of GCC Citizens Working in other GCC States (Private Sector),KN_N5,Qatari,KN_T,Total,,,,,,,,,,,,,,,,,5,5,6,4,4,4,,
BH,Kingdom of Bahrain,T2,Work,KN_A3,No. of GCC Citizens Working in other GCC States (Private Sector),KN_N6,Kuwaiti,KN_T,Total,,,,,,,,,,,,,,,,,23,23,24,26,25,26,,
BH,Kingdom of Bahrain,T3,Social Insurance,KN_A4,Total No. of GCC Citizens included in Retirement Pensions in other Member States,KN_N1,Emirati,KN_T,Total,,,,,,,,,,,,,,,,,13,13,12,12,12,12,,
BH,Kingdom of Bahrain,T3,Social Insurance,KN_A4,Total No. of GCC Citizens included in Retirement Pensions in other Member States,KN_N3,Saudi,KN_T,Total,,,,,,,,,,,,,,,,,67,69,100,152,152,152,,
BH,Kingdom of Bahrain,T3,Social Insurance,KN_A4,Total No. of GCC Citizens included in Retirement Pensions in other Member States,KN_N4,Omani,KN_T,Total,,,,,,,,,,,,,,,,,53,54,46,44,44,44,,
BH,Kingdom of Bahrain,T3,Social Insurance,KN_A4,Total No. of GCC Citizens included in Retirement Pensions in other Member States,KN_N5,Qatari,KN_T,Total,,,,,,,,,,,,,,,,,14,14,14,14,14,14,,
BH,Kingdom of Bahrain,T3,Social Insurance,KN_A4,Total No. of GCC Citizens included in Retirement Pensions in other Member States,KN_N6,Kuwaiti,KN_T,Total,,,,,,,,,,,,,,,,,17,17,13,12,12,12,,
BH,Kingdom of Bahrain,T3,Social Insurance,KN_A5,Total No. of GCC Citizens included in Social Security in other Member States,KN_N1,Emirati,KN_T,Total,,,,,,,,,,,,,,,,,6,5,6,6,6,4,,
BH,Kingdom of Bahrain,T3,Social Insurance,KN_A5,Total No. of GCC Citizens included in Social Security in other Member States,KN_N3,Saudi,KN_T,Total,,,,,,,,,,,,,,,,,272,287,310,325,341,379,,
BH,Kingdom of Bahrain,T3,Social Insurance,KN_A5,Total No. of GCC Citizens included in Social Security in other Member States,KN_N4,Omani,KN_T,Total,,,,,,,,,,,,,,,,,118,117,121,122,103,106,,
BH,Kingdom of Bahrain,T3,Social Insurance,KN_A5,Total No. of GCC Citizens included in Social Security in other Member States,KN_N5,Qatari,KN_T,Total,,,,,,,,,,,,,,,,,3,3,4,4,4,4,,
BH,Kingdom of Bahrain,T3,Social Insurance,KN_A5,Total No. of GCC Citizens included in Social Security in other Member States,KN_N6,Kuwaiti,KN_T,Total,,,,,,,,,,,,,,,,,24,22,25,26,25,26,,
BH,Kingdom of Bahrain,T10,Health and Education,KN_A9,Total No. of GCC Students in General Education - Governmental Schools in other Member States - All stages of General Education,KN_N1,Emirati,KN_T,Total,,,,,,,,,,,,,,,,,22,24,27,13,14,10,,
BH,Kingdom of Bahrain,T10,Health and Education,KN_A9,Total No. of GCC Students in General Education - Governmental Schools in other Member States - All stages of General Education,KN_N3,Saudi,KN_T,Total,,,,,,,,,,,,,,,,,643,632,629,644,673,583,,
BH,Kingdom of Bahrain,T10,Health and Education,KN_A9,Total No. of GCC Students in General Education - Governmental Schools in other Member States - All stages of General Education,KN_N4,Omani,KN_T,Total,,,,,,,,,,,,,,,,,97,103,105,104,104,109,,
BH,Kingdom of Bahrain,T10,Health and Education,KN_A9,Total No. of GCC Students in General Education - Governmental Schools in other Member States - All stages of General Education,KN_N5,Qatari,KN_T,Total,,,,,,,,,,,,,,,,,66,69,68,65,62,64,,
